Run at 2025-07-01T19:44:14.603718+00:00 UTC
PennyLane version: 0.41.1
Random seed: 123
Hamiltonian loaded: 14 qubits, 129 terms
UCCSD setup: electrons=8, params=204
Step 000 | lr=0.0500 | E=-855.73528321
Step 097 | lr=0.0125 | E=-864.68628176
Step 098 | lr=0.0125 | E=-864.68638799
Step 099 | lr=0.0125 | E=-864.68648054
Step 100 | lr=0.0125 | E=-864.68655562
Step 101 | lr=0.0125 | E=-864.68661563
Step 102 | lr=0.0125 | E=-864.68666438
Step 103 | lr=0.0125 | E=-864.68670227
Step 104 | lr=0.0125 | E=-864.68673442
Step 105 | lr=0.0125 | E=-864.68676517
Step 106 | lr=0.0125 | E=-864.68679680
Step 107 | lr=0.0125 | E=-864.68683278
Step 108 | lr=0.0125 | E=-864.68687347
Step 109 | lr=0.0125 | E=-864.68691792
Step 110 | lr=0.0125 | E=-864.68696534
Step 111 | lr=0.0125 | E=-864.68701335
Step 112 | lr=0.0125 | E=-864.68706024
Step 113 | lr=0.0125 | E=-864.68710488
Step 114 | lr=0.0125 | E=-864.68714616
Step 115 | lr=0.0125 | E=-864.68718398
Step 116 | lr=0.0125 | E=-864.68721850
Step 117 | lr=0.0125 | E=-864.68725011
Step 118 | lr=0.0125 | E=-864.68727941
Step 119 | lr=0.0125 | E=-864.68730713
Step 120 | lr=0.0125 | E=-864.68733405
Step 121 | lr=0.0125 | E=-864.68736082
Step 122 | lr=0.0125 | E=-864.68738806
Step 123 | lr=0.0125 | E=-864.68741607
Step 124 | lr=0.0125 | E=-864.68744493
Step 125 | lr=0.0125 | E=-864.68747455
Step 126 | lr=0.0125 | E=-864.68750457
Step 127 | lr=0.0125 | E=-864.68753474
Step 128 | lr=0.0125 | E=-864.68756469
Step 129 | lr=0.0125 | E=-864.68759401
Step 130 | lr=0.0125 | E=-864.68762256
Step 131 | lr=0.0125 | E=-864.68765012
Step 132 | lr=0.0125 | E=-864.68767666
Step 133 | lr=0.0125 | E=-864.68770225
Step 134 | lr=0.0125 | E=-864.68772692
Step 135 | lr=0.0125 | E=-864.68775088
Step 136 | lr=0.0125 | E=-864.68777426
Step 137 | lr=0.0125 | E=-864.68779722
Step 138 | lr=0.0125 | E=-864.68781993
Step 139 | lr=0.0125 | E=-864.68784246
Step 140 | lr=0.0125 | E=-864.68786488
Step 141 | lr=0.0125 | E=-864.68788719
Step 142 | lr=0.0125 | E=-864.68790939
Step 143 | lr=0.0125 | E=-864.68793144
Step 144 | lr=0.0125 | E=-864.68795330
Step 145 | lr=0.0125 | E=-864.68797491
Step 146 | lr=0.0125 | E=-864.68799625
Step 147 | lr=0.0125 | E=-864.68801727
Step 148 | lr=0.0125 | E=-864.68803796
Step 149 | lr=0.0125 | E=-864.68805832
Step 150 | lr=0.0125 | E=-864.68807836
Step 151 | lr=0.0125 | E=-864.68809813
Step 152 | lr=0.0125 | E=-864.68811765
Step 153 | lr=0.0125 | E=-864.68813696
Step 154 | lr=0.0125 | E=-864.68815605
Step 155 | lr=0.0125 | E=-864.68817493
Step 156 | lr=0.0125 | E=-864.68819357
Step 157 | lr=0.0125 | E=-864.68821197
Step 158 | lr=0.0125 | E=-864.68823011
Step 159 | lr=0.0125 | E=-864.68824800
Step 160 | lr=0.0125 | E=-864.68826564
Step 161 | lr=0.0125 | E=-864.68828305
Step 162 | lr=0.0125 | E=-864.68830023
Step 163 | lr=0.0125 | E=-864.68831719
Step 164 | lr=0.0125 | E=-864.68833394
Step 165 | lr=0.0125 | E=-864.68835050
Step 166 | lr=0.0125 | E=-864.68836688
Step 167 | lr=0.0125 | E=-864.68838308
Step 168 | lr=0.0125 | E=-864.68839910
Step 169 | lr=0.0125 | E=-864.68841496
Step 170 | lr=0.0125 | E=-864.68843064
Step 171 | lr=0.0125 | E=-864.68844615
Step 172 | lr=0.0125 | E=-864.68846146
Step 173 | lr=0.0125 | E=-864.68847659
Step 174 | lr=0.0125 | E=-864.68849153
Step 175 | lr=0.0125 | E=-864.68850629
Step 176 | lr=0.0125 | E=-864.68852086
Step 177 | lr=0.0125 | E=-864.68853526
Step 178 | lr=0.0125 | E=-864.68854949
Step 179 | lr=0.0125 | E=-864.68856356
Step 180 | lr=0.0125 | E=-864.68857747
Step 181 | lr=0.0125 | E=-864.68859123
Step 182 | lr=0.0125 | E=-864.68860484
Step 183 | lr=0.0125 | E=-864.68861831
Step 184 | lr=0.0125 | E=-864.68863163
Step 185 | lr=0.0125 | E=-864.68864481
Step 186 | lr=0.0125 | E=-864.68865785
Step 187 | lr=0.0125 | E=-864.68867075
Step 188 | lr=0.0125 | E=-864.68868351
Step 189 | lr=0.0125 | E=-864.68869613
Step 190 | lr=0.0125 | E=-864.68870861
Step 191 | lr=0.0125 | E=-864.68872096
Step 192 | lr=0.0125 | E=-864.68873319
Step 193 | lr=0.0125 | E=-864.68874528
Step 194 | lr=0.0125 | E=-864.68875726
Step 195 | lr=0.0125 | E=-864.68876911
Step 196 | lr=0.0125 | E=-864.68878085
Step 197 | lr=0.0125 | E=-864.68879247
Step 198 | lr=0.0125 | E=-864.68880397
Step 199 | lr=0.0125 | E=-864.68881536
Final energy: -864.68881536
